,GPS,catalog.shortName,chi_eff,chi_eff_lower,chi_eff_unit,chi_eff_upper,chirp_mass,chirp_mass_lower,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_unit,chirp_mass_source_upper,chirp_mass_unit,chirp_mass_upper,commonName,far,far_lower,far_unit,far_upper,final_mass_source,final_mass_source_lower,final_mass_source_unit,final_mass_source_upper,jsonurl,luminosity_distance,luminosity_distance_lower,luminosity_distance_unit,luminosity_distance_upper,mass_1_source,mass_1_source_lower,mass_1_source_unit,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_unit,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_unit,network_matched_filter_snr_upper,redshift,redshift_lower,redshift_unit,redshift_upper,reference,total_mass_source,total_mass_source_lower,total_mass_source_unit,total_mass_source_upper,version
18,1128678900.4,O1_O2-Preliminary,,,,,,,,,,,,,GW151012,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151012/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5CC0XMZ,,,,,1
19,1128678900.4,O1_O2-Preliminary,,,,,,,,,,,,,GW151012,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151012/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5CC0XMZ,,,,,2
20,1128678900.4,GWTC-1-confident,0.05,-0.2,,0.31,,,15.2,-1.2,M_sun,2.1,,,GW151012,0.00792,,yr^-1,,35.6,-3.8,M_sun,10.8,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3,1080.0,-490.0,Mpc,550.0,23.2,-5.5,M_sun,14.9,13.6,-4.8,M_sun,4.1,10.0,,,,0.21,-0.09,,0.09,https://doi.org/10.7935/82H3-HH23,,,,,3
21,1135136350.6,O1_O2-Preliminary,,,,,,,,,,,,,GW151226,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151226/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5H41PBP,,,,,1
22,1135136350.6,GWTC-1-confident,0.18,-0.12,,0.2,,,8.9,-0.3,M_sun,0.3,,,GW151226,1e-07,,yr^-1,,20.5,-1.5,M_sun,6.4,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2,450.0,-190.0,Mpc,180.0,13.7,-3.2,M_sun,8.8,7.7,-2.5,M_sun,2.2,13.1,,,,0.09,-0.04,,0.04,https://doi.org/10.7935/82H3-HH23,,,,,2
23,1167559936.6,O1_O2-Preliminary,,,,,,,,,,,,,GW170104,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170104/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K53X84K2,,,,,1
24,1167559936.6,GWTC-1-confident,-0.04,-0.21,,0.17,,,21.4,-1.8,M_sun,2.2,,,GW170104,1e-07,,yr^-1,,48.9,-4.0,M_sun,5.1,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2,990.0,-430.0,Mpc,440.0,30.8,-5.6,M_sun,7.3,20.0,-4.6,M_sun,4.9,13.0,,,,0.2,-0.08,,0.08,https://doi.org/10.7935/82H3-HH23,,,,,2
25,1180922494.5,O1_O2-Preliminary,,,,,,,,,,,,,GW170608,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170608/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K51R6NJQ,,,,,1
26,1180922494.5,O1_O2-Preliminary,,,,,,,,,,,,,GW170608,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170608/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K51R6NJQ,,,,,2
27,1180922494.5,GWTC-1-confident,0.03,-0.07,,0.19,,,7.9,-0.2,M_sun,0.2,,,GW170608,1e-07,,yr^-1,,17.8,-0.7,M_sun,3.4,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3,320.0,-110.0,Mpc,120.0,11.0,-1.7,M_sun,5.5,7.6,-2.2,M_sun,1.4,14.9,,,,0.07,-0.02,,0.02,https://doi.org/10.7935/82H3-HH23,,,,,3
28,1185389807.3,GWTC-1-confident,0.37,-0.25,,0.21,,,35.4,-4.8,M_sun,6.5,,,GW170729,0.02,,yr^-1,,79.5,-10.2,M_sun,14.7,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170729/v1,2840.0,-1360.0,Mpc,1400.0,50.2,-10.2,M_sun,16.2,34.0,-10.1,M_sun,9.1,10.2,,,,0.49,-0.21,,0.19,https://doi.org/10.7935/82H3-HH23,,,,,1
29,1186302519.8,GWTC-1-confident,0.08,-0.17,,0.17,,,24.9,-1.7,M_sun,2.1,,,GW170809,1e-07,,yr^-1,,56.3,-3.8,M_sun,5.2,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170809/v1,1030.0,-390.0,Mpc,320.0,35.0,-5.9,M_sun,8.3,23.8,-5.2,M_sun,5.1,12.4,,,,0.2,-0.07,,0.05,https://doi.org/10.7935/82H3-HH23,,,,,1
30,1186741861.5,O1_O2-Preliminary,,,,,,,,,,,,,GW170814,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170814/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5MP519B,,,,,1
31,1186741861.5,O1_O2-Preliminary,,,,,,,,,,,,,GW170814,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170814/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5MP519B,,,,,2
32,1186741861.5,GWTC-1-confident,0.07,-0.12,,0.12,,,24.1,-1.1,M_sun,1.4,,,GW170814,1e-07,,yr^-1,,53.2,-2.4,M_sun,3.2,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170814/v3,600.0,-220.0,Mpc,150.0,30.6,-3.0,M_sun,5.6,25.2,-4.0,M_sun,2.8,15.9,,,,0.12,-0.04,,0.03,https://doi.org/10.7935/82H3-HH23,,,,,3
33,1187008882.4,O1_O2-Preliminary,,,,,,,,,,,,,GW170817,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170817/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5B8566F,,,,,1
34,1187008882.4,O1_O2-Preliminary,,,,,,,,,,,,,GW170817,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW170817/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5B8566F,,,,,2
35,1187008882.4,GWTC-1-confident,0.0,-0.01,,0.02,,,1.186,-0.001,M_sun,0.001,,,GW170817,1e-07,,yr^-1,,2.8,,M_sun,,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170817/v3,40.0,-15.0,Mpc,7.0,1.46,-0.1,M_sun,0.12,1.27,-0.09,M_sun,0.09,33.0,,,,0.01,-0.0,,0.0,https://doi.org/10.7935/82H3-HH23,,,,,3
36,1187058327.1,GWTC-1-confident,-0.09,-0.21,,0.18,,,26.5,-1.7,M_sun,2.1,,,GW170818,4.2000000000000004e-05,,yr^-1,,59.4,-3.8,M_sun,4.9,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170818/v1,1060.0,-380.0,Mpc,420.0,35.4,-4.7,M_sun,7.5,26.7,-5.2,M_sun,4.3,11.3,,,,0.21,-0.07,,0.07,https://doi.org/10.7935/82H3-HH23,,,,,1
37,1187529256.5,GWTC-1-confident,0.09,-0.26,,0.22,,,29.2,-3.6,M_sun,4.6,,,GW170823,1e-07,,yr^-1,,65.4,-7.4,M_sun,10.1,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170823/v1,1940.0,-900.0,Mpc,970.0,39.5,-6.7,M_sun,11.2,29.0,-7.8,M_sun,6.7,11.5,,,,0.35,-0.15,,0.15,https://doi.org/10.7935/82H3-HH23,,,,,1
38,1238782700.3,GWTC-2,-0.03,-0.19,,0.13,23.8,-1.7,18.3,-1.2,M_sun,1.8,M_sun,1.4,GW190408_181802,1e-05,,1/yr,,41.0,-2.7,M_sun,3.8,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190408_181802/v1,1580.0,-590.0,Mpc,400.0,24.5,-3.4,M_sun,5.1,18.3,-3.5,M_sun,3.2,14.67360038139546,,,,0.3,-0.1,,0.06,/GWTC-2/,42.9,-2.9,M_sun,4.1,1
39,1239082262.2,O3_Discovery_Papers,,,,,,,,,,,,,GW190412,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O3_Discovery_Papers/GW190412/v1,,,,,,,,,,,,,,,,,,,,,/o3_eventdata_docs,,,,,1
