Unnamed: 0,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id
113,2.455616917711846e-05,6.3945026,7.850760396545091,0.0,5.5002522,1177005470.772461,1177005472.772461,0.39285114,88765603,5.601934,1177005470.7734375,1177005472.7734375,0.39285114,42192322,141.05043,14.443109,155.49355,35.24346378541435,0.10239677,0.99782646,0.99782646,27.8,387491
166,0.0005218768872921,7.819930599999999,7.935050904059958,0.0,5.6604624,1177040945.8354492,1177040947.8354492,0.22202943,249556981,5.560953,1177040945.831543,1177040947.831543,0.22202943,118569998,480.12283,19.278769,499.4016,69.21002458195095,0.040153824,0.9752709,0.9752709,25.2,387540
310,0.001853240686114,8.021901,7.932899159799588,0.0,5.51785,1177134830.1904294,1177134832.1904294,0.20184754,149711590,5.699493,1177134830.1933596,1177134832.1933596,0.20184754,71141252,60.305237,25.02887,85.33411,33.193513845339176,0.4150364,-0.69569427,-0.69569427,26.1,130380
517,4.1659939416779625e-05,7.0033917,7.962276168149243,0.0,5.5106273,1177331150.553711,1177331152.553711,0.15224765,269650798,5.7472453,1177331150.5566404,1177331152.5566404,0.15224765,128121720,86.52185,11.212697,97.73455,24.77946417152112,0.12959382,-0.74372023,-0.74372023,24.6,220236
956,0.0001487386967695,7.555233500000001,8.191027007261757,0.0,5.982709,1178137595.668457,1178137597.668457,0.34351504,136824394,5.594650700000001,1178137595.6660154,1178137597.6660154,0.34351504,65022852,123.715,15.293143,139.00813,34.478107233703675,0.12361592,0.7343515,0.7343515,26.0,178402
