,unfiltered_trigger_idx,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,trigger_idx,timeslide_val,H1_timeslid_time,L1_timeslid_time,H1_timeslid_time_end,L1_timeslid_time_end,avg_timeslid_time,H1_timslide_val,L1_timslide_val,gps_time,data_idx,lnZs,lnBF,lnBCR,lnZg_H1,lnZn_H1,lnBF_H1,lnZg_L1,lnZn_L1,lnBF_L1,walltime_H1L1,walltime_H1,walltime_L1,nsamples_H1L1,nsamples_H1,nsamples_L1,h1l1_result_file,h1_result_file,l1_result_file,trigger_time,far,saved_gps_start_time,alpha,beta,ln_stat,ln_far
0,438491.0,0.6326101245417345,8.662445,8.657204271519902,-16529.9,5.7970977,1186644884.9609375,1186644886.9609375,0.44420552,38365081.0,6.4296846,1186661414.8588867,1186661416.8588867,0.44420552,38781214.0,78.13331,13.935536,92.06885,26.87530510829421,0.17835589999999998,0.58468014,0.58468014,26.2,387466.0,1098.0,-16529.9,1186644884.9609375,1186661414.8588867,1186644888.9609375,1186661418.8588867,1186653149.9099119,-8264.948974609375,8264.948974609375,1186653149.9099,1092.0,-8818.715818966717,24.36649502987348,10.173183660695939,-4343.530084367233,-4348.9822003981135,5.452116030880461,-4485.742961652511,-4494.100113598478,8.357151945967416,4.635671835,1.8929300111111107,1.5276717208333332,17497.0,12217.0,13524.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1092_1186653151-909912_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1092_1186653151-909912_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1092_1186653151-909912_analysis_L1_dynesty_result.json,1186653151.9099119,1.5807524432594315,1186653149.9099119,1.0,1.0,2.158997015289516,0.4579009635884333
1,465514.0,0.5962975853725301,8.655429,10.844403876144105,1306.3000000000004,6.1361995,1186659543.859375,1186659545.859375,0.15161325,60993220.0,8.941373,1186658237.5654294,1186658239.5654294,0.15161325,61662398.0,416.65305,5.13076,421.7838,29.713635134656123,0.012314227,0.6853847,0.6853847,21.4,178450.0,1162.0,1306.3000000000004,1186659543.859375,1186658237.5654294,1186659547.859375,1186658241.5654294,1186658890.7124026,653.14697265625,-653.1469728946687,1186658890.7124,1155.0,-8520.449331914619,88.56426430352622,9.722487414795976,-4208.0759747054335,-4236.800692499035,28.724717793600572,-4317.49067444134,-4372.21290371911,54.722229277769664,6.322558782222222,1.7382710377777777,3.646187715555556,25770.0,14606.0,17167.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1155_1186658892-712402_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1155_1186658892-712402_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1155_1186658892-712402_analysis_L1_dynesty_result.json,1186658892.7124019,1.6770150081611708,1186658890.7124026,1.0,1.0,2.1581867541242197,0.5170154322113844
2,436961.0,0.38450714989864665,8.603028,8.567406177078581,-17786.0,5.6760645,1186657709.055664,1186657711.055664,0.31395334,12411872.0,6.417378,1186675495.0605464,1186675497.0605464,0.31395334,12545899.0,79.36048000000002,27.05915,106.41963,39.241601388433494,0.34096506,0.99204767,0.99204767,28.5,150253.0,1095.0,-17786.0,1186657709.055664,1186675495.0605464,1186657713.055664,1186675499.0605464,1186666602.0581052,-8893.002441167831,8893.002441167831,1186666602.0581,1089.0,-8532.752121972722,11.949247974283937,-1.8730192072634964,-4276.482894640377,-4278.2391701429215,1.7562755025455772,-4262.3037228722005,-4266.462199804084,4.158476931883341,5.082487088611111,0.8112938269444444,3.442910911111111,20574.0,8415.0,13954.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1089_1186666604-058105_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1089_1186666604-058105_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1089_1186666604-058105_analysis_L1_dynesty_result.json,1186666604.058105,2.6007318726416218,1186666602.0581052,1.0,1.0,2.1521142343125153,0.9557928948942533
3,407829.0,0.24327492125421585,8.548059,8.621255677481061,-40074.2,5.640585400000001,1186648505.890625,1186648507.890625,0.25581485,59417518.0,6.5199574999999985,1186688580.0859375,1186688582.0859375,0.25581485,60067725.0,128.2375,7.096725500000002,135.33423,22.344071094371557,0.055340484,0.004589602,0.004589602,23.9,373059.0,1005.0,-40074.2,1186648505.890625,1186688580.0859375,1186648509.890625,1186688584.0859375,1186668542.9882812,-20037.09765625,20037.09765625,1186668542.9883,1000.0,-8585.418501802029,24.52272181668741,3.301737542195042,-4389.646215241367,-4395.094577050389,5.448361809020753,-4198.254328692159,-4214.846646568329,16.592317876169545,1.9539839819444444,1.2013543136111111,0.9112549630555556,11496.0,9793.0,7668.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1000_1186668544-988281_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1000_1186668544-988281_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1000_1186668544-988281_analysis_L1_dynesty_result.json,1186668544.988281,4.110575783333731,1186668542.9882812,1.0,1.0,2.145704239632426,1.4135631119645453
4,411349.0,0.18074697879662727,8.51179,9.165779598709213,-37425.9,6.7029924,1186651154.175293,1186651156.175293,0.15307942,40564081.0,6.2515125,1186688580.0708008,1186688582.0708008,0.15307942,41001595.0,245.59554,3.5094422999999995,249.10498,19.142500422632352,0.01428952,0.3241074,0.3241074,22.5,330923.0,1015.0,-37425.9,1186651154.175293,1186688580.0708008,1186651158.175293,1186688584.0708008,1186669867.1230466,-18712.94775390625,18712.94775390625,1186669867.123,1010.0,-8613.261488323806,31.056415295002807,-0.4750000747808372,-4412.410624353342,-4431.936838927901,19.526214574558253,-4195.771338189261,-4212.381064690908,16.609726501646946,2.1866289675,0.8595271691666667,0.7823012380555556,11666.0,9270.0,7724.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1010_1186669869-123047_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1010_1186669869-123047_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1010_1186669869-123047_analysis_L1_dynesty_result.json,1186669869.123047,5.532595934149357,1186669867.1230466,1.0,1.0,2.1414522612423217,1.7106571329010636
5,412083.0,36.48244645950517,9.134961,21.60928111610243,-36772.5,5.533846,1186652494.803711,1186652496.803711,0.339502,74948991.0,20.888695,1186689267.2958984,1186689269.2958984,0.339502,75775206.0,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096000000002,-0.9965974,-0.9965974,20.8,175796.0,1017.0,-36772.5,1186652494.803711,1186689267.2958984,1186652498.803711,1186689271.2958984,1186670881.0498047,-18386.24609375,18386.24609375,1186670881.0498,1012.0,-8886.261242142313,312.4819919548845,-1.7735137114959798,-4384.107296679595,-4389.230822719619,5.123526040024443,-4499.878630750511,-4809.512411377578,309.63378062706767,4.380487852222221,0.9429570158333334,3.0404294588888887,21312.0,7796.0,15771.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1012_1186670883-049805_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1012_1186670883-049805_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1012_1186670883-049805_analysis_L1_dynesty_result.json,1186670883.0498052,0.027410442474300106,1186670881.0498047,1.0,1.0,2.212108920526932,-3.596831225992187
6,523039.0,0.00011432626001230076,7.133803,7.808524177708329,43000.0,5.5184927,1186694169.8461914,1186694171.8461914,0.26711538,18242532.0,5.5244265,1186651169.8564453,1186651171.8564453,0.26711538,18435307.0,65.40688,37.68036,103.08724,42.89454909621714,0.57609165,0.9979064,0.9979064,28.4,149383.0,1301.0,43000.0,1186694169.8461914,1186651169.8564453,1186694173.8461914,1186651173.8564453,1186672669.8513186,21499.994873046875,-21499.994873046875,1186672669.8513,1291.0,-8879.507221827564,8.873526714201944,-5.403117284711699,-4363.813919170048,-4367.36483343854,3.5509142684904877,-4512.349231517771,-4521.015915103226,8.666683585454848,3.72578899,1.5227729747222225,0.7868263283333333,16066.0,10271.0,7132.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1291_1186672671-851318_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1291_1186672671-851318_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1291_1186672671-851318_analysis_L1_dynesty_result.json,1186672671.851318,8746.89681873969,1186672669.8513186,1.0,1.0,1.96484447231376,9.076454267161836
7,420886.0,0.21107374940907306,8.530679,9.342083191251113,-29835.9,6.2506566,1186658744.1826172,1186658746.1826172,0.2997211,50044883.0,6.9428964,1186688580.0776367,1186688582.0776367,0.2997211,50587407.0,136.45012,2.5657315,139.01585,12.528475075341609,0.01880344,-0.26570526,-0.26570526,22.3,371957.0,1042.0,-29835.9,1186658744.1826172,1186688580.0776367,1186658748.1826172,1186688584.0776367,1186673662.130127,-14917.947509765625,14917.947509765625,1186673662.1301,1037.0,-8782.875491829633,96.3807406343185,-11.543738642893008,-4568.984008077719,-4664.56610897877,95.58210090105149,-4197.743011262496,-4214.690123485179,16.947112222684154,12.769545410277773,4.127501645555555,0.7706771847222222,30662.0,22408.0,7725.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1037_1186673664-130127_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1037_1186673664-130127_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1037_1186673664-130127_analysis_L1_dynesty_result.json,1186673664.130127,4.737680563308432,1186673662.130127,1.0,1.0,2.1436689597423633,1.5555476833093487
8,545591.0,9.538516060771656e-05,7.0001364,8.210626132224721,61000.0,5.521075700000001,1186705642.7958984,1186705644.7958984,0.32776868,91540199.0,6.077179,1186644642.7998047,1186644644.7998047,0.32776868,92545634.0,60.27448,29.117472,89.39195,36.00083659076163,0.48308128,0.9264494,0.9264494,28.0,135334.0,1363.0,61000.0,1186705642.7958984,1186644642.7998047,1186705646.7958984,1186644646.7998047,1186675142.7978516,30499.998046875,-30499.998046875,1186675142.7979,1353.0,-8787.955433759333,9.26758400226936,-4.5899382776824496,-4413.9400687279085,-4414.946037018037,1.005968290128294,-4376.217254057017,-4382.276980743565,6.059726686547947,7.090755779722223,2.0370695572222224,2.3970547002777782,17971.0,12829.0,12475.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1353_1186675144-797852_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1353_1186675144-797852_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1353_1186675144-797852_analysis_L1_dynesty_result.json,1186675144.797852,10483.811041768075,1186675142.7978516,1.0,1.0,1.945929634579755,9.257587540794423
9,450514.0,0.560747479015049,8.648114,15.321284105895858,-8220.7,11.282891,1186671184.6713867,1186671186.6713867,0.17978139999999998,67813018.0,10.365236,1186679405.3720706,1186679407.3720706,0.17978139999999998,68558307.0,118.6424,1.2398531000000002,119.882256,7.670349041547228,0.010450337,-0.9153426,-0.9153426,21.5,176518.0,1125.0,-8220.7,1186671184.6713867,1186679405.3720706,1186671188.6713867,1186679409.3720706,1186675295.0217285,-4110.350341796875,4110.3503420352945,1186675295.0217,1118.0,-8821.094486078475,141.79270701549285,16.160739331431614,-4361.124435579735,-4409.5151385884965,48.39070300876028,-4471.5256196441815,-4553.372054505471,81.84643486128971,6.731336633333334,2.518161678333333,6.178368258333332,29576.0,22506.0,22118.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1118_1186675297-021729_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1118_1186675297-021729_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_background/result/bcr_O2_chunk21_background_data1118_1186675297-021729_analysis_L1_dynesty_result.json,1186675297.021729,1.7833339202103888,1186675295.0217285,1.0,1.0,2.15734126248869,0.578484601329689
